Name,Opp,Tournament,Date,Round,ScoreFor,ScoreAgainst,Difference,Win,Loss,Margin,Source
Shim Yen Nee,Jocelyn Lor,9th SA Millennium Cup,27 Jan 2008,5,401 -,363,+38,3    -,6,-449,SA
Shim Yen Nee,Jocelyn Lor,6th Lim Boon Heng Cup,16 Mar 2008,10,440 -,352,+88,4    -,6,-361,SA
Shim Yen Nee,Jocelyn Lor,7th Lim Boon Heng Cup,22 Mar 2009,1,416 -,282,+134,5    -,6,-227,SA
Shim Yen Nee,Jocelyn Lor,12th Singapore Open Scrabble Championship,31 May 2009,12,368 -,409,-41,5    -,7,-268,SA
Shim Yen Nee,Jocelyn Lor,Yew Tee Scrabble Open Championship 2009,22 Nov 2009,9,344 -,482,-138,5    -,8,-406,SA
Shim Yen Nee,Jocelyn Lor,Yew Tee Scrabble Open Championship 2009,22 Nov 2009,14,457 -,423,+34,6    -,8,-372,SA
Shim Yen Nee,Jocelyn Lor,8th Lim Boon Heng Cup,7 Mar 2010,11,379 -,313,+66,7    -,8,-306,SA
Shim Yen Nee,Jocelyn Lor,13th Singapore Open Scrabble Championship,14 Nov 2010,12,413 -,351,+62,8    -,8,-244,SA
Shim Yen Nee,Jocelyn Lor,Yew Tee Scrabble Open Championship 2010,21 Nov 2010,5,472 -,321,+151,9    -,8,-93,SA
Shim Yen Nee,Jocelyn Lor,12th SA Millennium Cup,23 Jan 2011,9,407 -,349,+58,10    -,8,-35,SA
Shim Yen Nee,Jocelyn Lor,12th SA Millennium Cup,23 Jan 2011,18,526 -,330,+196,11    -,8,+161,SA
Shim Yen Nee,Jocelyn Lor,9th Lim Boon Heng Cup,13 Mar 2011,9,400 -,407,-7,11    -,9,+154,SA
Shim Yen Nee,Jocelyn Lor,14th Singapore Open Scrabble Championship,27 Nov 2011,12,390 -,436,-46,11    -,10,+108,SA
Shim Yen Nee,Jocelyn Lor,Jurong Green CC mini tournament,12 Aug 2012,5,410 -,379,+31,12    -,10,+139,SA
Shim Yen Nee,Tan Jin Chor,7th Singapore Open Scrabble Championship,6 Jun 2004,2,404 -,303,+101,1    -,0,+101,SA
Shim Yen Nee,Tan Jin Chor,9th Singapore Open Scrabble Championship,28 May 2006,8,324 -,441,-117,1    -,1,-16,SA
Shim Yen Nee,Tan Jin Chor,Grandeur 8 mini tournament,28 Sep 2008,6,431 -,408,+23,2    -,1,+7,SA
Shim Yen Nee,Tan Jin Chor,8th Lim Boon Heng Cup,7 Mar 2010,12,443 -,373,+70,3    -,1,+77,SA
Shim Yen Nee,Tan Jin Chor,9th Lim Boon Heng Cup,13 Mar 2011,10,315 -,458,-143,3    -,2,-66,SA
Shim Yen Nee,Tan Jin Chor,14th Singapore Open Scrabble Championship,27 Nov 2011,8,455 -,417,+38,4    -,2,-28,SA
Shim Yen Nee,Tan Jin Chor,14th Singapore Open Scrabble Championship,27 Nov 2011,14,433 -,432,+1,5    -,2,-27,SA
Shim Yen Nee,Tan Jin Chor,15th Singapore Open Scrabble Championship,18 Nov 2012,10,388 -,436,-48,5    -,3,-75,SA
Shim Yen Nee,Tan Jin Chor,15th Singapore Open Scrabble Championship,18 Nov 2012,15,445 -,315,+130,6    -,3,+55,SA
