Name,Date,Tournament,Division,TotalDivs,Placement,Players,Wins,Margin,GamesFirst,GamesLast,Rating,Norm
Ricky Purnomo,9 Sep 2007,Charity Tournament - Words With A Difference,1 of,2,1st of,20,13,+1142,,,,
Ricky Purnomo,16 Sep 2007,Grandeur 8 mini tournament,2 of,2,2nd of,8,5,+272,804 -,811,1796,
Ricky Purnomo,7 Oct 2007,The Serangoon mini tournament,2 of,2,4th of,6,3,-367,812 -,819,1751,
Ricky Purnomo,16 Dec 2007,Jurong Green CC mini tournament,2 of,3,1st of,6,6,+554,820 -,827,1806,
Ricky Purnomo,15 Jan 2006,7th SA Millennium Cup,1 of,2,7th of,10,7,-840,682 -,699,1807,
Ricky Purnomo,12 Mar 2006,6th NTU Open Scrabble Championship,1 of,2,3rd of,14,5,+239,700 -,707,1832,
Ricky Purnomo,19 Mar 2006,4th Lim Boon Heng Cup,1 of,3,7th of,22,9,+270,708 -,722,1814,
Ricky Purnomo,23 Jul 2006,Singapore National Scrabble Championship 2006,1 of,3,7th of,26,9,+587,723 -,738,1822,
Ricky Purnomo,15 Oct 2006,Jurong Green CC mini tournament,1 of,3,10th of,10,1,-521,739 -,747,1774,
Ricky Purnomo,10 Dec 2006,5th Causeway Scrabble Challenge,2 of,2,13th of,66,12,+145,,,,
Ricky Purnomo,30 Jan 2005,6th SA Millennium Cup,1 of,2,3rd of,8,9,+218,602 -,617,1890,
Ricky Purnomo,6 Mar 2005,5th NTU Open Scrabble Championship,1 of,2,3rd of,10,5,+394,618 -,625,1890,
Ricky Purnomo,12 Mar 2005,SAFRA Open,1 of,2,4th of,28,4,+388,,,,
Ricky Purnomo,2 Apr 2005,Teck Ghee Zone B Residents' Committee mini tournament,1 of,2,1st of,8,6,+555,626 -,632,1893,
Ricky Purnomo,15 May 2005,Teck Ghee Zone B Residents' Committee mini tournament,1 of,1,4th of,16,5,+349,633 -,640,1875,
Ricky Purnomo,5 Jun 2005,Teck Ghee Zone B Residents' Committee mini tournament,1 of,2,7th of,10,3,-16,641 -,649,1831,
Ricky Purnomo,24 Jul 2005,Singapore National Scrabble Championship 2005,1 of,3,11th of,20,8,-118,650 -,665,1817,
Ricky Purnomo,30 Oct 2005,8th Singapore Open Scrabble Championship,1 of,3,3rd of,20,10,+775,666 -,681,1848,
Ricky Purnomo,18 Dec 2005,4th Causeway Scrabble Challenge,1 of,2,18th of,32,11½,-181,,,,
Ricky Purnomo,8 Feb 2004,5th SA Millennium Cup,1 of,2,5th of,10,10,+534,505 -,522,1892,
Ricky Purnomo,2 May 2004,Jurong Green CC mini tournament,1 of,3,3rd of,8,5,+183,523 -,530,1896,
Ricky Purnomo,6 Jun 2004,7th Singapore Open Scrabble Championship,1 of,3,11th of,20,8,-216,531 -,545,1846,
Ricky Purnomo,18 Jul 2004,Singapore National Scrabble Championship 2004,1 of,3,5th of,16,9,+394,546 -,561,1849,
Ricky Purnomo,12 Sep 2004,Kg Kembangan CC mini tournament,1 of,2,8th of,12,3,+210,562 -,569,1827,
Ricky Purnomo,24 Oct 2004,Kg Kembangan CC mini tournament,1 of,1,1st of,18,6,+650,570 -,577,1854,
Ricky Purnomo,7 Nov 2004,Kg Kembangan CC mini tournament,1 of,1,3rd of,16,5½,+283,578 -,585,1866,
Ricky Purnomo,21 Nov 2004,3rd Lim Boon Heng Cup,1 of,3,2nd of,16,10,+330,586 -,601,1902,
Ricky Purnomo,19 Dec 2004,3rd Causeway Scrabble Challenge,1 of,2,8th of,30,18,+786,,,,
Ricky Purnomo,26 Jan 2003,4th SA Millennium Cup,1 of,2,2nd of,10,13,+959,378 -,395,1940,
Ricky Purnomo,23 Feb 2003,3rd NTU Open Scrabble Championship,1 of,2,3rd of,12,6,-101,396 -,403,1937,
Ricky Purnomo,16 Mar 2003,2nd Temasek Open,1 of,3,3rd of,18,10,-36,404 -,419,1938,
Ricky Purnomo,18 May 2003,Jurong Green CC mini tournament,1 of,2,3rd of,10,6,+237,420 -,428,1938,
Ricky Purnomo,15 Jun 2003,6th Singapore Open Scrabble Championship,1 of,3,2nd of,24,11,+498,429 -,444,1941,
Ricky Purnomo,20 Jul 2003,Singapore National Scrabble Championship 2003,1 of,1,6th of,16,11,+656,445 -,462,1910,
Ricky Purnomo,7 Sep 2003,2nd Harmony Cup,1 of,3,8th of,18,10,+498,463 -,479,1871,
Ricky Purnomo,27 Sep 2003,Aljunied-Kembangan Scrabble Tournament,2 of,2,1st of,12,4,+398,,,,
Ricky Purnomo,23 Nov 2003,2nd Lim Boon Heng Cup,1 of,3,2nd of,22,12,+442,480 -,495,1922,
Ricky Purnomo,28 Dec 2003,Jurong Green CC mini tournament,1 of,3,4th of,10,6,+146,496 -,504,1918,
Ricky Purnomo,20 Jan 2002,3rd SA Millennium Cup,1 of,3,2nd of,10,14,+538,280 -,296,1842,
Ricky Purnomo,24 Feb 2002,2nd NTU Open Scrabble Championship,1 of,2,1st of,10,6,+452,297 -,304,1854,
Ricky Purnomo,3 Mar 2002,1st Temasek Open,1 of,2,9th of,18,8,-145,305 -,320,1812,
Ricky Purnomo,28 Apr 2002,8th Jurong Green CC - St John's Institution Annual Friendly,1 of,1,4th of,22,10,+661,321 -,336,1854,
Ricky Purnomo,21 Jul 2002,Singapore National Scrabble Championship 2002,1 of,2,1st of,18,12,+532,337 -,352,1904,*
Ricky Purnomo,13 Oct 2002,Jurong Green CC mini tournament,1 of,2,2nd of,10,7,+320,353 -,361,1923,*
