"","player","round","score","opp.no.","player.no.","bye","vp","result","start","opp","opp.score","margin","cumwin","cumspread","ave.score","hi.score","low.score","si","lose.streak","win.streak","rank"
"93","Goh Jiang Pern",3,408,12,14,"N",0,"Lose","N","Ron Baginski",493,-85,1,-135,402.666666666667,417,383,99865,4,2,29
"94","Hubert Wee",3,393,5,3,"N",0,"Lose","N","Marlon Prudencio",484,-91,2,-10,418.666666666667,446,393,199990,2,4,18
"95","J Goutham",3,391,20,9,"N",0,"Lose","N","Lee Cheong Cheng",442,-51,2,79,428,471,391,200079,2,6,13
"96","Jeremy Khoo",3,331,8,15,"N",0,"Lose","N","Yeo Kian Hung",410,-79,2,405,393.666666666667,461,331,200405,3,2,6
"97","Jessie Lim",3,332,11,28,"N",0,"Lose","N","Ricky Purnomo",593,-261,1,-241,390.666666666667,526,314,99759,2,2,33
"98","K Dorai Raja",3,490,1,27,"N",1,"Win","N","Nigel Richards",372,118,3,391,486.333333333333,563,406,300391,6,4,3
"99","Karen Richards",3,424,22,21,"N",1,"Win","N","Dianne Ward",352,72,2,36,374.333333333333,424,342,200036,2,3,16
"100","Lee Cheong Cheng",3,442,9,20,"N",1,"Win","N","J Goutham",391,51,3,181,363.666666666667,499,150,300181,4,6,5
"101","Leon Tan",3,488,23,25,"N",1,"Win","N","Chew Han Ei",404,84,2,125,469.333333333333,494,426,200125,3,3,11
"102","Marlon Prudencio",3,484,3,5,"N",1,"Win","N","Hubert Wee",393,91,3,186,456,518,366,300186,3,5,4
"103","Mary Morgan",3,278,7,34,"N",0,"Lose","N","Cheah Siu Hean",498,-220,0,-289,344.666666666667,404,278,-289,5,4,38
"104","Muhd Fari Husada",3,366,32,39,"N",0,"Lose","N","Tan Mun Ri",395,-29,0,-229,366.333333333333,372,361,-229,4,1,37
"105","Neo Wei Sheng",3,472,30,24,"N",1,"Win","N","Arul Inthirarajah",441,31,2,86,431,472,381,200086,3,3,12
"106","Nicholas Hong",3,422,18,31,"N",0,"Lose","N","Tay Jing En",434,-12,1,-29,417.666666666667,422,412,99971,3,2,25
"107","Nigel Richards",3,372,27,1,"N",0,"Lose","N","K Dorai Raja",490,-118,2,156,464.666666666667,578,372,200156,2,7,10
"108","Poh Ying Ming",3,389,2,19,"N",0,"Lose","N","Alastair Richards",465,-76,1,-12,397,439,363,99988,3,5,24
"109","Ricky Purnomo",3,593,28,11,"N",1,"Win","N","Jessie Lim",332,261,2,248,364,593,150,200248,2,4,8
"110","Ron Baginski",3,493,14,12,"N",1,"Win","N","Goh Jiang Pern",408,85,2,22,448.666666666667,493,406,200022,2,5,17
"111","Shahrul Kamal",3,354,10,33,"N",0,"Lose","N","Yong Jian Rong",543,-189,1,-284,360.666666666667,448,280,99716,3,2,34
"112","Sharon Chia",3,337,29,36,"N",0,"Lose","N","Elizabeth Wok",364,-27,0,-365,317.333333333333,337,286,-365,6,3,39
"113","Tan Mun Ri",3,395,39,32,"N",1,"Win","N","Muhd Fari Husada",366,29,1,-146,341.333333333333,395,291,99854,3,3,30
"114","Tay Jing En",3,434,31,18,"N",1,"Win","N","Nicholas Hong",422,12,2,-11,411.666666666667,434,367,199989,6,3,19
"115","Tengku Asri",3,302,16,26,"N",0,"Lose","N","Gabriel Cheang",472,-170,1.5,-80,404,486,302,149920,3,2,20
"116","Theng Wai Mun",3,359,38,35,"N",0,"Lose","N","Andri Prasetyo",402,-43,0,-448,269.333333333333,359,167,-448,3,3,40
"117","Tony Sim",3,527,13,4,"N",1,"Win","N","Gan Yi En",367,160,3,420,509.333333333333,587,414,300420,3,4,2
"118","Yeo Kian Hung",3,410,15,8,"N",1,"Win","N","Jeremy Khoo",331,79,3,474,495.333333333333,556,410,300474,2,3,1
"119","Yong Jian Rong",3,543,33,10,"N",1,"Win","N","Shahrul Kamal",354,189,2,65,399.666666666667,543,263,200065,1,3,15
"120","Zz Bye",3,100,37,40,"Y",0,"Lose","N","Ananto Widodo",150,-50,0,-150,100,100,100,-150,16,-Inf,36
"121","Alastair Richards",4,506,1,2,"N",1,"Win","N","Nigel Richards",457,49,3,279,486.5,511,464,300279,2,3,7
"122","Alex Tan",4,376,29,17,"N",0,"Lose","N","Elizabeth Wok",394,-18,1,-251,377.5,413,360,99749,3,8,34
"123","Ananto Widodo",4,366,22,37,"N",0,"Lose","N","Dianne Ward",441,-75,1,-152,310.5,374,150,99848,4,1,31
"124","Andri Prasetyo",4,150,40,38,"Y",1,"Win","N","Zz Bye",100,50,2,-299,280,402,150,199701,4,2,28
