"player","round","score","opp.no.","player.no.","bye","vp","result","start","opp","opp.score","margin","blank","j","q","x","z","s","overtime","minute","second","power.tiles","bingo.count","bingo.points"
"Hubert Wee",7,432,16,2,"N",1,"Win","N","Leon Tan",366,66,0,1,1,1,0,0,"",NA,NA,3,1,67
"Marlon Prudencio",7,484,11,3,"N",1,"Win","N","Shim Yen Nee",380,104,1,1,0,1,0,0,"N",1,32,3,1,79
"Tony Sim",7,501,14,4,"N",1,"Win","N","Jeremy Khoo",412,89,1,1,1,0,0,2,"N",2,17,5,3,258
"Michael Tang",7,438,9,5,"N",1,"Win","N","Andy Kurnia",388,50,2,0,1,1,1,2,"N",3,1,7,1,79
"Lim Li Wei",7,493,12,6,"N",1,"Win","N","Gabriel Cheang",437,56,1,1,1,0,0,1,"N",5,22,4,2,174
"Lee Guan Hui",7,371,15,7,"N",0,"Lose","N","Tay Jing En",398,-27,1,1,1,1,0,2,"N",4,8,6,2,143
"J Jeyaseelan",7,443,10,8,"N",0,"Lose","N","Yong Jian Rong",467,-24,0,0,0,1,0,2,"",NA,NA,3,2,132
"Andy Kurnia",7,388,5,9,"N",0,"Lose","Y","Michael Tang",438,-50,0,1,0,0,0,2,"N",3,37,3,2,182
"Yong Jian Rong",7,467,8,10,"N",1,"Win","Y","J Jeyaseelan",443,24,2,1,1,0,1,2,"",NA,NA,7,2,162
"Shim Yen Nee",7,380,3,11,"N",0,"Lose","Y","Marlon Prudencio",484,-104,1,0,1,0,1,4,"N",4,1,7,1,73
"Gabriel Cheang",7,437,6,12,"N",0,"Lose","Y","Lim Li Wei",493,-56,1,0,0,1,1,3,"Y",0,2,6,2,163
"Lee Cheong Cheng",7,336,1,13,"N",0,"Lose","Y","Cheah Siu Hean",558,-222,1,0,0,0,1,2,"N",1,47,4,1,70
"Jeremy Khoo",7,412,4,14,"N",0,"Lose","Y","Tony Sim",501,-89,1,0,0,1,1,2,"Y",0,52,5,2,145
"Tay Jing En",7,398,7,15,"N",1,"Win","Y","Lee Guan Hui",371,27,1,0,0,0,1,2,"N",9,41,4,2,153
"Leon Tan",7,366,2,16,"N",0,"Lose","Y","Hubert Wee",432,-66,2,0,0,0,1,4,"",NA,NA,7,2,135
"Cheah Siu Hean",8,477,16,1,"N",1,"Win","Y","Leon Tan",392,85,1,0,1,1,1,1,"N",10,0,5,2,147
"Hubert Wee",8,443,14,2,"N",1,"Win","Y","Jeremy Khoo",334,109,2,1,0,1,0,2,"N",3,41,6,3,201
"Marlon Prudencio",8,393,13,3,"N",1,"Win","Y","Lee Cheong Cheng",382,11,0,0,0,1,1,3,"N",4,47,5,1,75
"Tony Sim",8,383,12,4,"N",0,"Lose","Y","Gabriel Cheang",411,-28,2,0,0,1,0,2,"Y",0,36,5,2,150
"Michael Tang",8,516,11,5,"N",1,"Win","Y","Shim Yen Nee",366,150,2,1,1,1,0,1,"N",1,6,6,2,164
"Lim Li Wei",8,478,10,6,"N",1,"Win","Y","Yong Jian Rong",449,29,1,1,0,1,1,1,"N",1,19,5,2,172
"Lee Guan Hui",8,367,9,7,"N",0,"Lose","Y","Andy Kurnia",440,-73,0,1,0,0,0,1,"N",7,25,2,0,0
"J Jeyaseelan",8,449,15,8,"N",0,"Lose","Y","Tay Jing En",519,-70,1,1,1,1,0,0,"N",7,36,4,2,171
"Andy Kurnia",8,440,7,9,"N",1,"Win","N","Lee Guan Hui",367,73,2,0,1,1,1,3,"Y",1,47,8,3,235
"Yong Jian Rong",8,449,6,10,"N",0,"Lose","N","Lim Li Wei",478,-29,1,0,1,0,0,3,"N",2,38,5,2,129
"Shim Yen Nee",8,366,5,11,"N",0,"Lose","N","Michael Tang",516,-150,0,0,0,0,1,3,"N",11,18,4,2,136
"Gabriel Cheang",8,411,4,12,"N",1,"Win","N","Tony Sim",383,28,0,1,1,0,1,2,"N",10,4,5,2,146
"Lee Cheong Cheng",8,382,3,13,"N",0,"Lose","N","Marlon Prudencio",393,-11,2,1,1,0,0,1,"Y",0,3,5,2,151
