"player","round","score","opp.no.","player.no.","bye","vp","result","start","opp","opp.score","margin","blank","j","q","x","z","s","overtime","minute","second","power.tiles","bingo.count","bingo.points"
"Shahrul Kamal",12,543,2,6,"N",1,"Win","N","Shukra Raj Gurung",320,223,2,1,0,1,0,2,"",NA,NA,6,3,252
"Valliammah Thambiaya",12,365,4,7,"N",0,"Lose","Y","Mohammed Ameen",418,-53,1,1,0,0,0,2,"",NA,NA,4,0,0
"Khumraj Thapa",12,423,1,8,"N",1,"Win","N","Lee Chee Meng",340,83,1,1,1,1,0,2,"",NA,NA,6,1,78
"Lee Chee Meng",13,368,6,1,"N",0,"Lose","N","Shahrul Kamal",400,-32,0,1,1,0,1,0,"",NA,NA,3,0,0
"Shukra Raj Gurung",13,454,4,2,"N",1,"Win","Y","Mohammed Ameen",438,16,2,1,0,0,1,3,"N",11,35,7,2,129
"Nicholas Lee",13,370,8,3,"N",1,"Win","N","Khumraj Thapa",350,20,1,1,0,1,1,1,"N",11,58,5,0,0
"Mohammed Ameen",13,438,2,4,"N",0,"Lose","N","Shukra Raj Gurung",454,-16,0,0,1,1,0,1,"N",8,49,3,2,145
"S Shanthikumar",13,359,7,5,"N",0,"Lose","N","Valliammah Thambiaya",432,-73,1,1,0,0,1,2,"",NA,NA,5,0,0
"Shahrul Kamal",13,400,1,6,"N",1,"Win","N","Lee Chee Meng",368,32,2,0,0,1,0,4,"",NA,NA,7,2,140
"Valliammah Thambiaya",13,432,5,7,"N",1,"Win","Y","S Shanthikumar",359,73,1,0,1,1,0,2,"",NA,NA,5,0,0
"Khumraj Thapa",13,350,3,8,"N",0,"Lose","N","Nicholas Lee",370,-20,1,0,1,0,0,3,"N",6,45,5,1,76
"Lee Chee Meng",14,505,4,1,"N",1,"Win","Y","Mohammed Ameen",394,111,0,1,0,1,0,3,"N",3,29,5,3,197
"Shukra Raj Gurung",14,424,7,2,"N",1,"Win","Y","Valliammah Thambiaya",323,101,2,0,1,0,0,2,"N",6,45,5,1,69
"Nicholas Lee",14,396,6,3,"N",0,"Lose","N","Shahrul Kamal",488,-92,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,0,0
"Mohammed Ameen",14,394,1,4,"N",0,"Lose","N","Lee Chee Meng",505,-111,2,0,1,0,1,1,"N",9,5,5,1,113
"S Shanthikumar",14,281,8,5,"N",0,"Lose","N","Khumraj Thapa",399,-118,1,0,0,1,1,3,"N",4,0,6,0,0
"Shahrul Kamal",14,488,3,6,"N",1,"Win","N","Nicholas Lee",396,92,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,0,0
"Valliammah Thambiaya",14,323,2,7,"N",0,"Lose","N","Shukra Raj Gurung",424,-101,0,1,0,1,1,2,"N",6,0,5,0,0
"Khumraj Thapa",14,399,5,8,"N",1,"Win","Y","S Shanthikumar",281,118,1,1,1,0,0,1,"N",9,55,4,0,0
"Lee Chee Meng",15,348,2,1,"N",0,"Lose","Y","Shukra Raj Gurung",362,-14,1,0,0,1,0,2,"N",4,12,4,0,0
"Shukra Raj Gurung",15,362,1,2,"N",1,"Win","N","Lee Chee Meng",348,14,1,1,1,0,1,2,"N",4,7,6,0,0
"Nicholas Lee",15,365,4,3,"N",0,"Lose","Y","Mohammed Ameen",379,-14,0,1,1,0,0,2,"N",11,54,4,1,64
"Mohammed Ameen",15,379,3,4,"N",1,"Win","N","Nicholas Lee",365,14,2,0,0,1,1,2,"N",11,16,6,1,70
"S Shanthikumar",15,330,6,5,"N",0,"Lose","N","Shahrul Kamal",499,-169,1,NA,NA,NA,NA,NA,"",NA,NA,NA,0,0
"Shahrul Kamal",15,499,5,6,"N",1,"Win","Y","S Shanthikumar",330,169,1,NA,NA,NA,NA,NA,"",NA,NA,NA,2,173
